"id";"name";"content_type_id";"codename"
1;"Can add log entry";1;"add_logentry"
2;"Can change log entry";1;"change_logentry"
3;"Can delete log entry";1;"delete_logentry"
4;"Can add permission";2;"add_permission"
5;"Can change permission";2;"change_permission"
6;"Can delete permission";2;"delete_permission"
7;"Can add group";3;"add_group"
8;"Can change group";3;"change_group"
9;"Can delete group";3;"delete_group"
10;"Can add user";4;"add_user"
11;"Can change user";4;"change_user"
12;"Can delete user";4;"delete_user"
13;"Can add content type";5;"add_contenttype"
14;"Can change content type";5;"change_contenttype"
15;"Can delete content type";5;"delete_contenttype"
16;"Can add session";6;"add_session"
17;"Can change session";6;"change_session"
18;"Can delete session";6;"delete_session"
19;"Can add site";7;"add_site"
20;"Can change site";7;"change_site"
21;"Can delete site";7;"delete_site"
22;"Can add v account detail";8;"add_vaccountdetail"
23;"Can change v account detail";8;"change_vaccountdetail"
24;"Can delete v account detail";8;"delete_vaccountdetail"
25;"Can add v actual problem links";9;"add_vactualproblemlinks"
26;"Can change v actual problem links";9;"change_vactualproblemlinks"
27;"Can delete v actual problem links";9;"delete_vactualproblemlinks"
28;"Can add v board";10;"add_vboard"
29;"Can change v board";10;"change_vboard"
30;"Can delete v board";10;"delete_vboard"
31;"Can add v board queue";11;"add_vboardqueue"
32;"Can change v board queue";11;"change_vboardqueue"
33;"Can delete v board queue";11;"delete_vboardqueue"
34;"Can add v chart project behind tasks";12;"add_vchartprojectbehindtasks"
35;"Can change v chart project behind tasks";12;"change_vchartprojectbehindtasks"
36;"Can delete v chart project behind tasks";12;"delete_vchartprojectbehindtasks"
37;"Can add v chart tasks by status";13;"add_vcharttasksbystatus"
38;"Can change v chart tasks by status";13;"change_vcharttasksbystatus"
39;"Can delete v chart tasks by status";13;"delete_vcharttasksbystatus"
40;"Can add v client admin group";14;"add_vclientadmingroup"
41;"Can change v client admin group";14;"change_vclientadmingroup"
42;"Can delete v client admin group";14;"delete_vclientadmingroup"
43;"Can add v client users";15;"add_vclientusers"
44;"Can change v client users";15;"change_vclientusers"
45;"Can delete v client users";15;"delete_vclientusers"
46;"Can add v comments parent";16;"add_vcommentsparent"
47;"Can change v comments parent";16;"change_vcommentsparent"
48;"Can delete v comments parent";16;"delete_vcommentsparent"
49;"Can add v importances";17;"add_vimportances"
50;"Can change v importances";17;"change_vimportances"
51;"Can delete v importances";17;"delete_vimportances"
52;"Can add v invoice detail";18;"add_vinvoicedetail"
53;"Can change v invoice detail";18;"change_vinvoicedetail"
54;"Can delete v invoice detail";18;"delete_vinvoicedetail"
55;"Can add v lookups by type";19;"add_vlookupsbytype"
56;"Can change v lookups by type";19;"change_vlookupsbytype"
57;"Can delete v lookups by type";19;"delete_vlookupsbytype"
58;"Can add v my assignedprojects";20;"add_vmyassignedprojects"
59;"Can change v my assignedprojects";20;"change_vmyassignedprojects"
60;"Can delete v my assignedprojects";20;"delete_vmyassignedprojects"
61;"Can add v my attention required";21;"add_vmyattentionrequired"
62;"Can change v my attention required";21;"change_vmyattentionrequired"
63;"Can delete v my attention required";21;"delete_vmyattentionrequired"
64;"Can add v my client";22;"add_vmyclient"
65;"Can change v my client";22;"change_vmyclient"
66;"Can delete v my client";22;"delete_vmyclient"
67;"Can add v my critical work";23;"add_vmycriticalwork"
68;"Can change v my critical work";23;"change_vmycriticalwork"
69;"Can delete v my critical work";23;"delete_vmycriticalwork"
70;"Can add v my important work";24;"add_vmyimportantwork"
71;"Can change v my important work";24;"change_vmyimportantwork"
72;"Can delete v my important work";24;"delete_vmyimportantwork"
73;"Can add v my invoice times";25;"add_vmyinvoicetimes"
74;"Can change v my invoice times";25;"change_vmyinvoicetimes"
75;"Can delete v my invoice times";25;"delete_vmyinvoicetimes"
76;"Can add v my invoices";26;"add_vmyinvoices"
77;"Can change v my invoices";26;"change_vmyinvoices"
78;"Can delete v my invoices";26;"delete_vmyinvoices"
79;"Can add v my items";27;"add_vmyitems"
80;"Can change v my items";27;"change_vmyitems"
81;"Can delete v my items";27;"delete_vmyitems"
82;"Can add v my org tasks";28;"add_vmyorgtasks"
83;"Can change v my org tasks";28;"change_vmyorgtasks"
84;"Can delete v my org tasks";28;"delete_vmyorgtasks"
85;"Can add v my organisation events";29;"add_vmyorganisationevents"
86;"Can change v my organisation events";29;"change_vmyorganisationevents"
87;"Can delete v my organisation events";29;"delete_vmyorganisationevents"
88;"Can add v my organisations";30;"add_vmyorganisations"
89;"Can change v my organisations";30;"change_vmyorganisations"
90;"Can delete v my organisations";30;"delete_vmyorganisations"
91;"Can add v my priorities";31;"add_vmypriorities"
92;"Can change v my priorities";31;"change_vmypriorities"
93;"Can delete v my priorities";31;"delete_vmypriorities"
94;"Can add v my problem priorities";32;"add_vmyproblempriorities"
95;"Can change v my problem priorities";32;"change_vmyproblempriorities"
96;"Can delete v my problem priorities";32;"delete_vmyproblempriorities"
97;"Can add v my problem scope";33;"add_vmyproblemscope"
98;"Can change v my problem scope";33;"change_vmyproblemscope"
99;"Can delete v my problem scope";33;"delete_vmyproblemscope"
100;"Can add v my problem statuses";34;"add_vmyproblemstatuses"
101;"Can change v my problem statuses";34;"change_vmyproblemstatuses"
102;"Can delete v my problem statuses";34;"delete_vmyproblemstatuses"
103;"Can add v my problems";35;"add_vmyproblems"
104;"Can change v my problems";35;"change_vmyproblems"
105;"Can delete v my problems";35;"delete_vmyproblems"
106;"Can add v my programmes";36;"add_vmyprogrammes"
107;"Can change v my programmes";36;"change_vmyprogrammes"
108;"Can delete v my programmes";36;"delete_vmyprogrammes"
109;"Can add v my projects";37;"add_vmyprojects"
110;"Can change v my projects";37;"change_vmyprojects"
111;"Can delete v my projects";37;"delete_vmyprojects"
112;"Can add v my reports";38;"add_vmyreports"
113;"Can change v my reports";38;"change_vmyreports"
114;"Can delete v my reports";38;"delete_vmyreports"
115;"Can add v my statuses";39;"add_vmystatuses"
116;"Can change v my statuses";39;"change_vmystatuses"
117;"Can delete v my statuses";39;"delete_vmystatuses"
118;"Can add v my tasks";40;"add_vmytasks"
119;"Can change v my tasks";40;"change_vmytasks"
120;"Can delete v my tasks";40;"delete_vmytasks"
121;"Can add v my tasktypes";41;"add_vmytasktypes"
122;"Can change v my tasktypes";41;"change_vmytasktypes"
123;"Can delete v my tasktypes";41;"delete_vmytasktypes"
124;"Can add v my time";42;"add_vmytime"
125;"Can change v my time";42;"change_vmytime"
126;"Can delete v my time";42;"delete_vmytime"
127;"Can add v my timesheet";43;"add_vmytimesheet"
128;"Can change v my timesheet";43;"change_vmytimesheet"
129;"Can delete v my timesheet";43;"delete_vmytimesheet"
130;"Can add v my users";44;"add_vmyusers"
131;"Can change v my users";44;"change_vmyusers"
132;"Can delete v my users";44;"delete_vmyusers"
133;"Can add v new user emails";45;"add_vnewuseremails"
134;"Can change v new user emails";45;"change_vnewuseremails"
135;"Can delete v new user emails";45;"delete_vnewuseremails"
136;"Can add v organisation activity";46;"add_vorganisationactivity"
137;"Can change v organisation activity";46;"change_vorganisationactivity"
138;"Can delete v organisation activity";46;"delete_vorganisationactivity"
139;"Can add v organisation potential users";47;"add_vorganisationpotentialusers"
140;"Can change v organisation potential users";47;"change_vorganisationpotentialusers"
141;"Can delete v organisation potential users";47;"delete_vorganisationpotentialusers"
142;"Can add v organisation project managers";48;"add_vorganisationprojectmanagers"
143;"Can change v organisation project managers";48;"change_vorganisationprojectmanagers"
144;"Can delete v organisation project managers";48;"delete_vorganisationprojectmanagers"
145;"Can add v organisation project users";49;"add_vorganisationprojectusers"
146;"Can change v organisation project users";49;"change_vorganisationprojectusers"
147;"Can delete v organisation project users";49;"delete_vorganisationprojectusers"
148;"Can add v organisation users";50;"add_vorganisationusers"
149;"Can change v organisation users";50;"change_vorganisationusers"
150;"Can delete v organisation users";50;"delete_vorganisationusers"
151;"Can add v organisations";51;"add_vorganisations"
152;"Can change v organisations";51;"change_vorganisations"
153;"Can delete v organisations";51;"delete_vorganisations"
154;"Can add v problem activity";52;"add_vproblemactivity"
155;"Can change v problem activity";52;"change_vproblemactivity"
156;"Can delete v problem activity";52;"delete_vproblemactivity"
157;"Can add v problem assignees";53;"add_vproblemassignees"
158;"Can change v problem assignees";53;"change_vproblemassignees"
159;"Can delete v problem assignees";53;"delete_vproblemassignees"
160;"Can add v problem edit";54;"add_vproblemedit"
161;"Can change v problem edit";54;"change_vproblemedit"
162;"Can delete v problem edit";54;"delete_vproblemedit"
163;"Can add v problem json";55;"add_vproblemjson"
164;"Can change v problem json";55;"change_vproblemjson"
165;"Can delete v problem json";55;"delete_vproblemjson"
166;"Can add v problems";56;"add_vproblems"
167;"Can change v problems";56;"change_vproblems"
168;"Can delete v problems";56;"delete_vproblems"
169;"Can add v project activity";57;"add_vprojectactivity"
170;"Can change v project activity";57;"change_vprojectactivity"
171;"Can delete v project activity";57;"delete_vprojectactivity"
172;"Can add v project assignees";58;"add_vprojectassignees"
173;"Can change v project assignees";58;"change_vprojectassignees"
174;"Can delete v project assignees";58;"delete_vprojectassignees"
175;"Can add v project detail";59;"add_vprojectdetail"
176;"Can change v project detail";59;"change_vprojectdetail"
177;"Can delete v project detail";59;"delete_vprojectdetail"
178;"Can add v project documents";60;"add_vprojectdocuments"
179;"Can change v project documents";60;"change_vprojectdocuments"
180;"Can delete v project documents";60;"delete_vprojectdocuments"
181;"Can add v project gantt";61;"add_vprojectgantt"
182;"Can change v project gantt";61;"change_vprojectgantt"
183;"Can delete v project gantt";61;"delete_vprojectgantt"
184;"Can add v project opinion";62;"add_vprojectopinion"
185;"Can change v project opinion";62;"change_vprojectopinion"
186;"Can delete v project opinion";62;"delete_vprojectopinion"
187;"Can add v project opinion detail";63;"add_vprojectopiniondetail"
188;"Can change v project opinion detail";63;"change_vprojectopiniondetail"
189;"Can delete v project opinion detail";63;"delete_vprojectopiniondetail"
190;"Can add v project pie";64;"add_vprojectpie"
191;"Can change v project pie";64;"change_vprojectpie"
192;"Can delete v project pie";64;"delete_vprojectpie"
193;"Can add v project tasklists";65;"add_vprojecttasklists"
194;"Can change v project tasklists";65;"change_vprojecttasklists"
195;"Can delete v project tasklists";65;"delete_vprojecttasklists"
196;"Can add v project tasks";66;"add_vprojecttasks"
197;"Can change v project tasks";66;"change_vprojecttasks"
198;"Can delete v project tasks";66;"delete_vprojecttasks"
199;"Can add v project user emails";67;"add_vprojectuseremails"
200;"Can change v project user emails";67;"change_vprojectuseremails"
201;"Can delete v project user emails";67;"delete_vprojectuseremails"
202;"Can add v project users";68;"add_vprojectusers"
203;"Can change v project users";68;"change_vprojectusers"
204;"Can delete v project users";68;"delete_vprojectusers"
205;"Can add v projectgantt jq";69;"add_vprojectganttjq"
206;"Can change v projectgantt jq";69;"change_vprojectganttjq"
207;"Can delete v projectgantt jq";69;"delete_vprojectganttjq"
208;"Can add v registered user";70;"add_vregistereduser"
209;"Can change v registered user";70;"change_vregistereduser"
210;"Can delete v registered user";70;"delete_vregistereduser"
211;"Can add v schedule";71;"add_vschedule"
212;"Can change v schedule";71;"change_vschedule"
213;"Can delete v schedule";71;"delete_vschedule"
214;"Can add v search";72;"add_vsearch"
215;"Can change v search";72;"change_vsearch"
216;"Can delete v search";72;"delete_vsearch"
217;"Can add v subscribers recent";73;"add_vsubscribersrecent"
218;"Can change v subscribers recent";73;"change_vsubscribersrecent"
219;"Can delete v subscribers recent";73;"delete_vsubscribersrecent"
220;"Can add v subscription";74;"add_vsubscription"
221;"Can change v subscription";74;"change_vsubscription"
222;"Can delete v subscription";74;"delete_vsubscription"
223;"Can add v suggest problem links";75;"add_vsuggestproblemlinks"
224;"Can change v suggest problem links";75;"change_vsuggestproblemlinks"
225;"Can delete v suggest problem links";75;"delete_vsuggestproblemlinks"
226;"Can add v suggest project links";76;"add_vsuggestprojectlinks"
227;"Can change v suggest project links";76;"change_vsuggestprojectlinks"
228;"Can delete v suggest project links";76;"delete_vsuggestprojectlinks"
229;"Can add v task dependency";77;"add_vtaskdependency"
230;"Can change v task dependency";77;"change_vtaskdependency"
231;"Can delete v task dependency";77;"delete_vtaskdependency"
232;"Can add v task detail";78;"add_vtaskdetail"
233;"Can change v task detail";78;"change_vtaskdetail"
234;"Can delete v task detail";78;"delete_vtaskdetail"
235;"Can add v task documents";79;"add_vtaskdocuments"
236;"Can change v task documents";79;"change_vtaskdocuments"
237;"Can delete v task documents";79;"delete_vtaskdocuments"
238;"Can add v task links";80;"add_vtasklinks"
239;"Can change v task links";80;"change_vtasklinks"
240;"Can delete v task links";80;"delete_vtasklinks"
241;"Can add v task statuses";81;"add_vtaskstatuses"
242;"Can change v task statuses";81;"change_vtaskstatuses"
243;"Can delete v task statuses";81;"delete_vtaskstatuses"
244;"Can add v task user emails";82;"add_vtaskuseremails"
245;"Can change v task user emails";82;"change_vtaskuseremails"
246;"Can delete v task user emails";82;"delete_vtaskuseremails"
247;"Can add v task users";83;"add_vtaskusers"
248;"Can change v task users";83;"change_vtaskusers"
249;"Can delete v task users";83;"delete_vtaskusers"
250;"Can add v tasklist activity";84;"add_vtasklistactivity"
251;"Can change v tasklist activity";84;"change_vtasklistactivity"
252;"Can delete v tasklist activity";84;"delete_vtasklistactivity"
253;"Can add v tasklist project";85;"add_vtasklistproject"
254;"Can change v tasklist project";85;"change_vtasklistproject"
255;"Can delete v tasklist project";85;"delete_vtasklistproject"
256;"Can add v tasklist task";86;"add_vtasklisttask"
257;"Can change v tasklist task";86;"change_vtasklisttask"
258;"Can delete v tasklist task";86;"delete_vtasklisttask"
259;"Can add v tasklist users";87;"add_vtasklistusers"
260;"Can change v tasklist users";87;"change_vtasklistusers"
261;"Can delete v tasklist users";87;"delete_vtasklistusers"
262;"Can add v tasklist users distinct";88;"add_vtasklistusersdistinct"
263;"Can change v tasklist users distinct";88;"change_vtasklistusersdistinct"
264;"Can delete v tasklist users distinct";88;"delete_vtasklistusersdistinct"
265;"Can add v team members";89;"add_vteammembers"
266;"Can change v team members";89;"change_vteammembers"
267;"Can delete v team members";89;"delete_vteammembers"
268;"Can add v time calendar";90;"add_vtimecalendar"
269;"Can change v time calendar";90;"change_vtimecalendar"
270;"Can delete v time calendar";90;"delete_vtimecalendar"
271;"Can add v time detail";91;"add_vtimedetail"
272;"Can change v time detail";91;"change_vtimedetail"
273;"Can delete v time detail";91;"delete_vtimedetail"
274;"Can add v time grid";92;"add_vtimegrid"
275;"Can change v time grid";92;"change_vtimegrid"
276;"Can delete v time grid";92;"delete_vtimegrid"
277;"Can add v time task";93;"add_vtimetask"
278;"Can change v time task";93;"change_vtimetask"
279;"Can delete v time task";93;"delete_vtimetask"
280;"Can add v time type";94;"add_vtimetype"
281;"Can change v time type";94;"change_vtimetype"
282;"Can delete v time type";94;"delete_vtimetype"
283;"Can add v user assigned";95;"add_vuserassigned"
284;"Can change v user assigned";95;"change_vuserassigned"
285;"Can delete v user assigned";95;"delete_vuserassigned"
286;"Can add v user attributes";96;"add_vuserattributes"
287;"Can change v user attributes";96;"change_vuserattributes"
288;"Can delete v user attributes";96;"delete_vuserattributes"
289;"Can add v user context full";97;"add_vusercontextfull"
290;"Can change v user context full";97;"change_vusercontextfull"
291;"Can delete v user context full";97;"delete_vusercontextfull"
292;"Can add v user context minimal";98;"add_vusercontextminimal"
293;"Can change v user context minimal";98;"change_vusercontextminimal"
294;"Can delete v user context minimal";98;"delete_vusercontextminimal"
295;"Can add v user current projects";99;"add_vusercurrentprojects"
296;"Can change v user current projects";99;"change_vusercurrentprojects"
297;"Can delete v user current projects";99;"delete_vusercurrentprojects"
298;"Can add v user detail";100;"add_vuserdetail"
299;"Can change v user detail";100;"change_vuserdetail"
300;"Can delete v user detail";100;"delete_vuserdetail"
301;"Can add v user group";101;"add_vusergroup"
302;"Can change v user group";101;"change_vusergroup"
303;"Can delete v user group";101;"delete_vusergroup"
304;"Can add v user group detail";102;"add_vusergroupdetail"
305;"Can change v user group detail";102;"change_vusergroupdetail"
306;"Can delete v user group detail";102;"delete_vusergroupdetail"
307;"Can add v user login";103;"add_vuserlogin"
308;"Can change v user login";103;"change_vuserlogin"
309;"Can delete v user login";103;"delete_vuserlogin"
310;"Can add v user potential projects";104;"add_vuserpotentialprojects"
311;"Can change v user potential projects";104;"change_vuserpotentialprojects"
312;"Can delete v user potential projects";104;"delete_vuserpotentialprojects"
313;"Can add v user projects";105;"add_vuserprojects"
314;"Can change v user projects";105;"change_vuserprojects"
315;"Can delete v user projects";105;"delete_vuserprojects"
316;"Can add v users";106;"add_vusers"
317;"Can change v users";106;"change_vusers"
318;"Can delete v users";106;"delete_vusers"
319;"Can add vw select organisation detail sidebar";107;"add_vwselectorganisationdetailsidebar"
320;"Can change vw select organisation detail sidebar";107;"change_vwselectorganisationdetailsidebar"
321;"Can delete vw select organisation detail sidebar";107;"delete_vwselectorganisationdetailsidebar"
322;"Can add vw select organisation index sidebar";108;"add_vwselectorganisationindexsidebar"
323;"Can change vw select organisation index sidebar";108;"change_vwselectorganisationindexsidebar"
324;"Can delete vw select organisation index sidebar";108;"delete_vwselectorganisationindexsidebar"
325;"Can add vw select problem detail sidebar";109;"add_vwselectproblemdetailsidebar"
326;"Can change vw select problem detail sidebar";109;"change_vwselectproblemdetailsidebar"
327;"Can delete vw select problem detail sidebar";109;"delete_vwselectproblemdetailsidebar"
328;"Can add vw select problem index sidebar";110;"add_vwselectproblemindexsidebar"
329;"Can change vw select problem index sidebar";110;"change_vwselectproblemindexsidebar"
330;"Can delete vw select problem index sidebar";110;"delete_vwselectproblemindexsidebar"
331;"Can add vw select programme history";111;"add_vwselectprogrammehistory"
332;"Can change vw select programme history";111;"change_vwselectprogrammehistory"
333;"Can delete vw select programme history";111;"delete_vwselectprogrammehistory"
334;"Can add vw select programme index sidebar";112;"add_vwselectprogrammeindexsidebar"
335;"Can change vw select programme index sidebar";112;"change_vwselectprogrammeindexsidebar"
336;"Can delete vw select programme index sidebar";112;"delete_vwselectprogrammeindexsidebar"
337;"Can add vw select project detail sidebar";113;"add_vwselectprojectdetailsidebar"
338;"Can change vw select project detail sidebar";113;"change_vwselectprojectdetailsidebar"
339;"Can delete vw select project detail sidebar";113;"delete_vwselectprojectdetailsidebar"
340;"Can add vw select project index sidebar";114;"add_vwselectprojectindexsidebar"
341;"Can change vw select project index sidebar";114;"change_vwselectprojectindexsidebar"
342;"Can delete vw select project index sidebar";114;"delete_vwselectprojectindexsidebar"
343;"Can add vw select task detail sidebar";115;"add_vwselecttaskdetailsidebar"
344;"Can change vw select task detail sidebar";115;"change_vwselecttaskdetailsidebar"
345;"Can delete vw select task detail sidebar";115;"delete_vwselecttaskdetailsidebar"
346;"Can add vw select task index sidebar";116;"add_vwselecttaskindexsidebar"
347;"Can change vw select task index sidebar";116;"change_vwselecttaskindexsidebar"
348;"Can delete vw select task index sidebar";116;"delete_vwselecttaskindexsidebar"
349;"Can add vw select time detail sidebar";117;"add_vwselecttimedetailsidebar"
350;"Can change vw select time detail sidebar";117;"change_vwselecttimedetailsidebar"
351;"Can delete vw select time detail sidebar";117;"delete_vwselecttimedetailsidebar"
352;"Can add vw select time index sidebar";118;"add_vwselecttimeindexsidebar"
353;"Can change vw select time index sidebar";118;"change_vwselecttimeindexsidebar"
354;"Can delete vw select time index sidebar";118;"delete_vwselecttimeindexsidebar"
355;"Can add vw select user detail sidebar";119;"add_vwselectuserdetailsidebar"
356;"Can change vw select user detail sidebar";119;"change_vwselectuserdetailsidebar"
357;"Can delete vw select user detail sidebar";119;"delete_vwselectuserdetailsidebar"
358;"Can add vw select user index sidebar";120;"add_vwselectuserindexsidebar"
359;"Can change vw select user index sidebar";120;"change_vwselectuserindexsidebar"
360;"Can delete vw select user index sidebar";120;"delete_vwselectuserindexsidebar"
361;"Can add account";121;"add_account"
362;"Can change account";121;"change_account"
363;"Can delete account";121;"delete_account"
364;"Can add answer";122;"add_answer"
365;"Can change answer";122;"change_answer"
366;"Can delete answer";122;"delete_answer"
367;"Can add auth group";123;"add_authgroup"
368;"Can change auth group";123;"change_authgroup"
369;"Can delete auth group";123;"delete_authgroup"
370;"Can add auth group permissions";124;"add_authgrouppermissions"
371;"Can change auth group permissions";124;"change_authgrouppermissions"
372;"Can delete auth group permissions";124;"delete_authgrouppermissions"
373;"Can add auth permission";125;"add_authpermission"
374;"Can change auth permission";125;"change_authpermission"
375;"Can delete auth permission";125;"delete_authpermission"
376;"Can add auth user";126;"add_authuser"
377;"Can change auth user";126;"change_authuser"
378;"Can delete auth user";126;"delete_authuser"
379;"Can add auth user groups";127;"add_authusergroups"
380;"Can change auth user groups";127;"change_authusergroups"
381;"Can delete auth user groups";127;"delete_authusergroups"
382;"Can add auth user user permissions";128;"add_authuseruserpermissions"
383;"Can change auth user user permissions";128;"change_authuseruserpermissions"
384;"Can delete auth user user permissions";128;"delete_authuseruserpermissions"
385;"Can add board";129;"add_board"
386;"Can change board";129;"change_board"
387;"Can delete board";129;"delete_board"
388;"Can add client";130;"add_client"
389;"Can change client";130;"change_client"
390;"Can delete client";130;"delete_client"
391;"Can add comment";131;"add_comment"
392;"Can change comment";131;"change_comment"
393;"Can delete comment";131;"delete_comment"
394;"Can add country";132;"add_country"
395;"Can change country";132;"change_country"
396;"Can delete country";132;"delete_country"
397;"Can add document";133;"add_document"
398;"Can change document";133;"change_document"
399;"Can delete document";133;"delete_document"
400;"Can add groups";134;"add_groups"
401;"Can change groups";134;"change_groups"
402;"Can delete groups";134;"delete_groups"
403;"Can add invoice";135;"add_invoice"
404;"Can change invoice";135;"change_invoice"
405;"Can delete invoice";135;"delete_invoice"
406;"Can add invoiceline";136;"add_invoiceline"
407;"Can change invoiceline";136;"change_invoiceline"
408;"Can delete invoiceline";136;"delete_invoiceline"
409;"Can add login attempts";137;"add_loginattempts"
410;"Can change login attempts";137;"change_loginattempts"
411;"Can delete login attempts";137;"delete_loginattempts"
412;"Can add lookup";138;"add_lookup"
413;"Can change lookup";138;"change_lookup"
414;"Can delete lookup";138;"delete_lookup"
415;"Can add meta";139;"add_meta"
416;"Can change meta";139;"change_meta"
417;"Can delete meta";139;"delete_meta"
418;"Can add opinion";140;"add_opinion"
419;"Can change opinion";140;"change_opinion"
420;"Can delete opinion";140;"delete_opinion"
421;"Can add organisation";141;"add_organisation"
422;"Can change organisation";141;"change_organisation"
423;"Can delete organisation";141;"delete_organisation"
424;"Can add organisation archive";142;"add_organisationarchive"
425;"Can change organisation archive";142;"change_organisationarchive"
426;"Can delete organisation archive";142;"delete_organisationarchive"
427;"Can add payrate";143;"add_payrate"
428;"Can change payrate";143;"change_payrate"
429;"Can delete payrate";143;"delete_payrate"
430;"Can add phase";144;"add_phase"
431;"Can change phase";144;"change_phase"
432;"Can delete phase";144;"delete_phase"
433;"Can add problem";145;"add_problem"
434;"Can change problem";145;"change_problem"
435;"Can delete problem";145;"delete_problem"
436;"Can add problem archive";146;"add_problemarchive"
437;"Can change problem archive";146;"change_problemarchive"
438;"Can delete problem archive";146;"delete_problemarchive"
439;"Can add problemlink";147;"add_problemlink"
440;"Can change problemlink";147;"change_problemlink"
441;"Can delete problemlink";147;"delete_problemlink"
442;"Can add programme";148;"add_programme"
443;"Can change programme";148;"change_programme"
444;"Can delete programme";148;"delete_programme"
445;"Can add project";149;"add_project"
446;"Can change project";149;"change_project"
447;"Can delete project";149;"delete_project"
448;"Can add project archive";150;"add_projectarchive"
449;"Can change project archive";150;"change_projectarchive"
450;"Can delete project archive";150;"delete_projectarchive"
451;"Can add queue";151;"add_queue"
452;"Can change queue";151;"change_queue"
453;"Can delete queue";151;"delete_queue"
454;"Can add queue user";152;"add_queueuser"
455;"Can change queue user";152;"change_queueuser"
456;"Can delete queue user";152;"delete_queueuser"
457;"Can add question";153;"add_question"
458;"Can change question";153;"change_question"
459;"Can delete question";153;"delete_question"
460;"Can add questionnaire";154;"add_questionnaire"
461;"Can change questionnaire";154;"change_questionnaire"
462;"Can delete questionnaire";154;"delete_questionnaire"
463;"Can add questionnaire question";155;"add_questionnairequestion"
464;"Can change questionnaire question";155;"change_questionnairequestion"
465;"Can delete questionnaire question";155;"delete_questionnairequestion"
466;"Can add status";156;"add_status"
467;"Can change status";156;"change_status"
468;"Can delete status";156;"delete_status"
469;"Can add task";157;"add_task"
470;"Can change task";157;"change_task"
471;"Can delete task";157;"delete_task"
472;"Can add task archive";158;"add_taskarchive"
473;"Can change task archive";158;"change_taskarchive"
474;"Can delete task archive";158;"delete_taskarchive"
475;"Can add task template";159;"add_tasktemplate"
476;"Can change task template";159;"change_tasktemplate"
477;"Can delete task template";159;"delete_tasktemplate"
478;"Can add tasklist";160;"add_tasklist"
479;"Can change tasklist";160;"change_tasklist"
480;"Can delete tasklist";160;"delete_tasklist"
481;"Can add tasklist archive";161;"add_tasklistarchive"
482;"Can change tasklist archive";161;"change_tasklistarchive"
483;"Can delete tasklist archive";161;"delete_tasklistarchive"
484;"Can add taskstep";162;"add_taskstep"
485;"Can change taskstep";162;"change_taskstep"
486;"Can delete taskstep";162;"delete_taskstep"
487;"Can add taxrate";163;"add_taxrate"
488;"Can change taxrate";163;"change_taxrate"
489;"Can delete taxrate";163;"delete_taxrate"
490;"Can add team";164;"add_team"
491;"Can change team";164;"change_team"
492;"Can delete team";164;"delete_team"
493;"Can add team user";165;"add_teamuser"
494;"Can change team user";165;"change_teamuser"
495;"Can delete team user";165;"delete_teamuser"
496;"Can add test table";166;"add_testtable"
497;"Can change test table";166;"change_testtable"
498;"Can delete test table";166;"delete_testtable"
499;"Can add time";167;"add_time"
500;"Can change time";167;"change_time"
501;"Can delete time";167;"delete_time"
502;"Can add user attributes";168;"add_userattributes"
503;"Can change user attributes";168;"change_userattributes"
504;"Can delete user attributes";168;"delete_userattributes"
505;"Can add user configuration";169;"add_userconfiguration"
506;"Can change user configuration";169;"change_userconfiguration"
507;"Can delete user configuration";169;"delete_userconfiguration"
508;"Can add user cookie";170;"add_usercookie"
509;"Can change user cookie";170;"change_usercookie"
510;"Can delete user cookie";170;"delete_usercookie"
511;"Can add user payrate";171;"add_userpayrate"
512;"Can change user payrate";171;"change_userpayrate"
513;"Can delete user payrate";171;"delete_userpayrate"
514;"Can add user status";172;"add_userstatus"
515;"Can change user status";172;"change_userstatus"
516;"Can delete user status";172;"delete_userstatus"
517;"Can add user taxrate";173;"add_usertaxrate"
518;"Can change user taxrate";173;"change_usertaxrate"
519;"Can delete user taxrate";173;"delete_usertaxrate"
520;"Can add useractivity";174;"add_useractivity"
521;"Can change useractivity";174;"change_useractivity"
522;"Can delete useractivity";174;"delete_useractivity"
523;"Can add userorganisation";175;"add_userorganisation"
524;"Can change userorganisation";175;"change_userorganisation"
525;"Can delete userorganisation";175;"delete_userorganisation"
526;"Can add userproject";176;"add_userproject"
527;"Can change userproject";176;"change_userproject"
528;"Can delete userproject";176;"delete_userproject"
529;"Can add userreport";177;"add_userreport"
530;"Can change userreport";177;"change_userreport"
531;"Can delete userreport";177;"delete_userreport"
532;"Can add users";178;"add_users"
533;"Can change users";178;"change_users"
534;"Can delete users";178;"delete_users"
535;"Can add users archive";179;"add_usersarchive"
536;"Can change users archive";179;"change_usersarchive"
537;"Can delete users archive";179;"delete_usersarchive"
538;"Can add users groups";180;"add_usersgroups"
539;"Can change users groups";180;"change_usersgroups"
540;"Can delete users groups";180;"delete_usersgroups"
541;"Can add usertask";181;"add_usertask"
542;"Can change usertask";181;"change_usertask"
543;"Can delete usertask";181;"delete_usertask"
